Date,Open,High,Low,Close,Volume,Close Time
1553472000000,0.00240000,0.00240000,0.00133000,0.00143500,448061413.00000000,1553558399999
1553558400000,0.00144800,0.00149000,0.00109000,0.00112600,169334442.00000000,1553644799999
1553644800000,0.00111900,0.00149300,0.00103500,0.00136200,133840368.00000000,1553731199999
1553731200000,0.00137000,0.00143900,0.00127900,0.00137900,57558784.00000000,1553817599999
1553817600000,0.00137900,0.00146800,0.00125700,0.00126700,41867643.00000000,1553903999999
1553904000000,0.00127300,0.00132000,0.00116400,0.00118800,34049606.00000000,1553990399999
1553990400000,0.00119600,0.00123300,0.00112100,0.00112100,13645684.00000000,1554076799999
1554076800000,0.00112400,0.00115000,0.00105400,0.00107900,17273702.00000000,1554163199999
1554163200000,0.00107900,0.00121000,0.00100500,0.00102000,23438184.00000000,1554249599999
1554249600000,0.00101900,0.00108600,0.00096000,0.00101000,21812480.00000000,1554335999999
1554336000000,0.00101000,0.00102500,0.00094500,0.00099800,14056567.00000000,1554422399999
1554422400000,0.00099000,0.00104100,0.00095600,0.00098100,7541090.00000000,1554508799999
1554508800000,0.00098500,0.00100900,0.00095500,0.00096800,9871436.00000000,1554595199999
1554595200000,0.00096900,0.00100600,0.00095400,0.00098000,5698006.00000000,1554681599999
1554681600000,0.00098000,0.00100300,0.00094000,0.00098000,9470221.00000000,1554767999999
1554768000000,0.00098000,0.00110400,0.00094600,0.00098600,41602513.00000000,1554854399999
1554854400000,0.00098100,0.00106800,0.00092300,0.00098400,26331271.00000000,1554940799999
1554940800000,0.00098800,0.00107000,0.00098800,0.00102400,18152035.00000000,1555027199999
1555027200000,0.00102400,0.00110800,0.00098300,0.00099600,11459077.00000000,1555113599999
1555113600000,0.00099100,0.00104500,0.00096800,0.00098300,4626376.00000000,1555199999999
1555200000000,0.00098600,0.00098600,0.00089100,0.00091100,7989965.00000000,1555286399999
1555286400000,0.00091600,0.00093300,0.00088300,0.00088500,3888545.00000000,1555372799999
1555372800000,0.00088700,0.00091200,0.00086600,0.00087300,2586104.00000000,1555459199999
1555459200000,0.00087700,0.00097200,0.00087300,0.00092200,9574998.00000000,1555545599999
1555545600000,0.00092400,0.00094400,0.00081200,0.00081300,7255143.00000000,1555631999999
1555632000000,0.00082100,0.00084200,0.00071700,0.00072000,5193716.00000000,1555718399999
1555718400000,0.00072500,0.00074100,0.00069300,0.00070900,4260718.00000000,1555804799999
1555804800000,0.00071400,0.00078900,0.00071000,0.00072700,16486373.00000000,1555891199999
